Date,X2
9-Feb-02,64.839
10-Feb-02,65.322
11-Feb-02,65.822
12-Feb-02,66.371
13-Feb-02,66.281
14-Feb-02,66.006
15-Feb-02,65.903
16-Feb-02,66.408
17-Feb-02,66.493
18-Feb-02,65.524
19-Feb-02,64.97
20-Feb-02,65.131
21-Feb-02,66.299
22-Feb-02,67.397
23-Feb-02,67.999
24-Feb-02,67.682
25-Feb-02,68.537
26-Feb-02,69.005
27-Feb-02,69.58
28-Feb-02,69.503
1-Mar-02,69.503
2-Mar-02,69.19
3-Mar-02,68.434
4-Mar-02,68.347
5-Mar-02,68.133
6-Mar-02,68.956
7-Mar-02,68.386
8-Mar-02,66.24
9-Mar-02,67.147
10-Mar-02,67.086
11-Mar-02,66.736
12-Mar-02,66.575
13-Mar-02,65.876
14-Mar-02,65.444
15-Mar-02,65.974
16-Mar-02,65.876
17-Mar-02,66.158
18-Mar-02,64.904
19-Mar-02,65.046
20-Mar-02,66.363
21-Mar-02,67.229
22-Mar-02,67.395
23-Mar-02,67.25
24-Mar-02,66.497
25-Mar-02,66.741
26-Mar-02,67.129
27-Mar-02,67.542
28-Mar-02,67.931
29-Mar-02,68.272
30-Mar-02,68.014
31-Mar-02,68.753
1-Apr-02,69.192
2-Apr-02,69.038
3-Apr-02,68.796
4-Apr-02,68.554
5-Apr-02,68.772
6-Apr-02,68.831
7-Apr-02,68.721
8-Apr-02,68.964
9-Apr-02,68.852
10-Apr-02,68.897
11-Apr-02,69.432
12-Apr-02,69.942
13-Apr-02,70.399
14-Apr-02,71.35
15-Apr-02,71.738
16-Apr-02,71.813
17-Apr-02,72.298
18-Apr-02,71.22
19-Apr-02,71.218
20-Apr-02,71.841
21-Apr-02,71.79
22-Apr-02,72.026
23-Apr-02,72.88
24-Apr-02,73.46
25-Apr-02,74.432
26-Apr-02,75.842
27-Apr-02,75.848
28-Apr-02,75.976
29-Apr-02,76.224
30-Apr-02,76.117
1-May-02,75.715
2-May-02,74.91
3-May-02,73.814
4-May-02,72.798
5-May-02,72.632
6-May-02,72.37
7-May-02,73.009
8-May-02,73.548
9-May-02,73.43
10-May-02,73.932
11-May-02,74.788
12-May-02,75.414
13-May-02,75.656
14-May-02,76.531
15-May-02,77.493
16-May-02,77.266
17-May-02,77.051
18-May-02,76.42
19-May-02,76.182
20-May-02,76.108
21-May-02,74.897
22-May-02,74.479
23-May-02,75.553
24-May-02,77.07
25-May-02,77.857
26-May-02,78.643
27-May-02,78.974
28-May-02,78.986
29-May-02,78.673
30-May-02,78.486
31-May-02,77.892
1-Jun-02,77.219
2-Jun-02,75.77
3-Jun-02,75.455
4-Jun-02,75.145
5-Jun-02,76.007
6-Jun-02,77.201
7-Jun-02,78.506
8-Jun-02,79.598
9-Jun-02,79.957
10-Jun-02,81.271
11-Jun-02,82.465
12-Jun-02,82.668
13-Jun-02,82.524
14-Jun-02,82.318
15-Jun-02,82.141
16-Jun-02,81.672
17-Jun-02,81.306
18-Jun-02,81.262
19-Jun-02,82.052
20-Jun-02,82.747
21-Jun-02,83.427
22-Jun-02,83.782
23-Jun-02,84.405
24-Jun-02,85.164
25-Jun-02,85.777
26-Jun-02,85.744
27-Jun-02,85.461
28-Jun-02,84.929
29-Jun-02,83.93
30-Jun-02,82.808
1-Jul-02,82.372
2-Jul-02,82.561
3-Jul-02,82.572
4-Jul-02,82.742
5-Jul-02,83.151
6-Jul-02,83.614
7-Jul-02,84.085
8-Jul-02,84.461
9-Jul-02,85.306
10-Jul-02,86.049
11-Jul-02,86.746
12-Jul-02,86.955
13-Jul-02,86.628
14-Jul-02,86.153
15-Jul-02,85.666
16-Jul-02,85.346
17-Jul-02,85.179
18-Jul-02,85.239
19-Jul-02,85.761
20-Jul-02,86.555
21-Jul-02,86.948
22-Jul-02,87.335
23-Jul-02,87.544
24-Jul-02,87.321
25-Jul-02,86.914
26-Jul-02,87.071
27-Jul-02,87.068
28-Jul-02,86.314
29-Jul-02,85.64
30-Jul-02,85.393
31-Jul-02,84.985
1-Aug-02,85.09
2-Aug-02,85.527
3-Aug-02,86.187
4-Aug-02,86.55
5-Aug-02,87.228
6-Aug-02,87.737
7-Aug-02,88.291
8-Aug-02,88.671
9-Aug-02,89.305
10-Aug-02,89.732
11-Aug-02,89.751
12-Aug-02,89.639
13-Aug-02,89.522
14-Aug-02,89.382
15-Aug-02,89.455
16-Aug-02,89.434
17-Aug-02,89.424
18-Aug-02,89.68
19-Aug-02,89.904
20-Aug-02,89.875
21-Aug-02,89.799
22-Aug-02,89.702
23-Aug-02,89.317
24-Aug-02,88.933
25-Aug-02,88.34
26-Aug-02,88.076
27-Aug-02,88.662
28-Aug-02,89.137
29-Aug-02,88.798
30-Aug-02,88.791
31-Aug-02,88.952
1-Sep-02,89.091
2-Sep-02,89.415
3-Sep-02,89.633
4-Sep-02,89.787
5-Sep-02,90.079
6-Sep-02,90.688
7-Sep-02,91.109
8-Sep-02,91.058
9-Sep-02,91.272
10-Sep-02,91.819
11-Sep-02,91.881
12-Sep-02,91.643
13-Sep-02,91.534
14-Sep-02,91.34
15-Sep-02,91.133
16-Sep-02,90.861
17-Sep-02,91.004
18-Sep-02,91.321
19-Sep-02,91.893
20-Sep-02,92.06
21-Sep-02,91.937
22-Sep-02,91.58
23-Sep-02,91.321
24-Sep-02,91.403
25-Sep-02,91.319
26-Sep-02,91.236
27-Sep-02,91.589
28-Sep-02,91.447
29-Sep-02,90.877
30-Sep-02,90.652
1-Oct-02,90.477
2-Oct-02,89.968
3-Oct-02,90.249
4-Oct-02,91.103
5-Oct-02,91.47
6-Oct-02,91.711
7-Oct-02,92.21
8-Oct-02,92.899
9-Oct-02,93.09
10-Oct-02,92.902
11-Oct-02,92.149
12-Oct-02,91.689
13-Oct-02,91.252
14-Oct-02,90.968
15-Oct-02,90.735
16-Oct-02,90.784
17-Oct-02,90.926
18-Oct-02,90.957
19-Oct-02,90.971
20-Oct-02,91.388
21-Oct-02,91.908
22-Oct-02,91.912
23-Oct-02,91.752
24-Oct-02,91.887
25-Oct-02,92.337
26-Oct-02,92.24
27-Oct-02,91.575
28-Oct-02,91.049
29-Oct-02,90.813
30-Oct-02,90.327
31-Oct-02,90.136
1-Nov-02,90.404
2-Nov-02,90.749
3-Nov-02,91.599
4-Nov-02,92.096
5-Nov-02,92.409
6-Nov-02,92.723
7-Nov-02,94.545
8-Nov-02,94.714
9-Nov-02,92.909
10-Nov-02,91.798
11-Nov-02,90.57
12-Nov-02,89.988
13-Nov-02,89.388
14-Nov-02,89.273
15-Nov-02,89.595
16-Nov-02,90.05
17-Nov-02,90.121
18-Nov-02,90.811
19-Nov-02,91.006
20-Nov-02,91.749
21-Nov-02,91.938
22-Nov-02,91.879
23-Nov-02,91.419
24-Nov-02,90.599
25-Nov-02,90.116
26-Nov-02,89.72
27-Nov-02,89.289
28-Nov-02,88.816
29-Nov-02,88.865
30-Nov-02,88.395
1-Dec-02,86.194
2-Dec-02,83.295
3-Dec-02,80.782
4-Dec-02,77.601
5-Dec-02,74.602
6-Dec-02,71.348
7-Dec-02,67.577
8-Dec-02,65.173
9-Dec-02,63.486
10-Dec-02,61.218
11-Dec-02,59.683
12-Dec-02,58.551
13-Dec-02,58.506
14-Dec-02,59.089
15-Dec-02,57.937
16-Dec-02,60.485
17-Dec-02,58.227
18-Dec-02,58.613
19-Dec-02,60.664
20-Dec-02,59.446
21-Dec-02,58.867
22-Dec-02,58.602
23-Dec-02,58.259
24-Dec-02,57.38
25-Dec-02,57.028
26-Dec-02,56.453
27-Dec-02,55.973
28-Dec-02,56.65
29-Dec-02,56.001
30-Dec-02,57.108
31-Dec-02,58.49
1-Jan-03,58.041
2-Jan-03,57.693
3-Jan-03,56.517
4-Jan-03,55.464
5-Jan-03,54.921
6-Jan-03,54.428
7-Jan-03,53.873
8-Jan-03,53.637
9-Jan-03,53.343
10-Jan-03,53.021
11-Jan-03,52.982
12-Jan-03,53.317
13-Jan-03,53.672
14-Jan-03,54.39
15-Jan-03,54.629
16-Jan-03,54.92
17-Jan-03,54.985
18-Jan-03,54.698
19-Jan-03,54.564
20-Jan-03,54.182
21-Jan-03,53.939
22-Jan-03,53.556
23-Jan-03,53.439
24-Jan-03,53.378
25-Jan-03,53.415
26-Jan-03,53.486
27-Jan-03,54.154
28-Jan-03,54.576
29-Jan-03,54.787
30-Jan-03,55.111
31-Jan-03,55.272
1-Feb-03,55.635
2-Feb-03,56.697
3-Feb-03,57.689
4-Feb-03,58.663
5-Feb-03,58.936
6-Feb-03,59.177
7-Feb-03,59.136
8-Feb-03,59.336
9-Feb-03,59.751
10-Feb-03,61.164
11-Feb-03,63.182
12-Feb-03,63.888
13-Feb-03,64.021
14-Feb-03,63.935
15-Feb-03,64.366
16-Feb-03,63.985
17-Feb-03,63.942
18-Feb-03,63.587
19-Feb-03,63.635
20-Feb-03,62.978
21-Feb-03,63.234
22-Feb-03,63.609
23-Feb-03,64.588
24-Feb-03,65.407
25-Feb-03,64.912
26-Feb-03,64.596
27-Feb-03,64.469
28-Feb-03,63.957
1-Mar-03,64.33
2-Mar-03,63.767
3-Mar-03,64.442
4-Mar-03,64.313
5-Mar-03,63.54
6-Mar-03,63.336
7-Mar-03,63.02
8-Mar-03,62.579
9-Mar-03,62.452
10-Mar-03,63.16
11-Mar-03,63.816
12-Mar-03,64.886
13-Mar-03,65.967
14-Mar-03,66.221
15-Mar-03,66.785
16-Mar-03,65.657
17-Mar-03,64.384
18-Mar-03,63.903
19-Mar-03,64.983
20-Mar-03,65.036
21-Mar-03,65.106
22-Mar-03,65.837
23-Mar-03,66.089
24-Mar-03,65.489
25-Mar-03,64.455
